Issue ID	Title	Status	Assignee	Labels	Last Sync	Link	analysis	effort_level	reasoning	recommended_implementation
25439	A large number of logs leads to inefficiency in troubleshooting and affects scrolling performance	OPEN		area/core, help wanted, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25439	Improve the debug log display by adding classification (filtering) and search functionality to handle large volumes of logs without affecting TUI performance.	medium	Implementing log classification and search functionality within the Ink-based TUI requires managing React state for search queries and filtered results, handling input focus transitions, and ensuring UI synchronization. This aligns with the Medium criteria for state management and UI interaction logic.	
25380	Support per-project local settings	OPEN		area/core, 🔒 maintainer only, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25380	Add support for a local-only configuration file (`.gemini/settings.local.json`) that is merged into the settings chain but not committed to git.	small	Adding support for a local configuration file involves updating the existing tiered settings loading logic to include an additional file path and merging it into the priority chain. This is a localized change within the configuration subsystem and fits the criteria for a small effort task.	In `loadSettings` in `packages/cli/src/config/settings.ts`, add a check for the existence of `.gemini/settings.local.json`. If it exists, load and merge it after the standard workspace settings but before returning the final merged object.
25184	Feature Request: Seamless WSL2 Support on Windows (Path Translation, Unified Session Memory & Windows based Credentials)	OPEN		priority/p2, area/core, 🔒 maintainer only, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25184	Implement WSL-aware mode to normalize paths, project IDs, and credential storage between Windows and WSL environments.	medium	Implementing WSL-aware path normalization and credential bridging requires detecting the WSL environment, translating paths between Linux and Windows formats (e.g., /mnt/c/ vs C:\), and ensuring consistent project hashing. This involves logic tracing across path resolution and session management modules to ensure unified session memory and credential access across OS boundaries, which requires robust testing on both environments.	Update `listSessions` in `packages/cli/src/utils/sessions.ts` to accept an optional `filter` string. Use this string to filter the `sessions` array before the `.forEach` display loop.
25012	Add a setting to control @ file path context in VSCode terminal	OPEN		area/core, status/needs-info, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25012	Introduce a setting to control whether `@` file path mentions in the VSCode terminal are relative to the current folder or the entire workspace.	medium	Implementing this requires adding a new configuration property to the settings schema, updating the AtFileProcessor to check this setting, and potentially modifying the path resolution logic in the core library's readPathFromWorkspace function. While the logic change is localized, ensuring consistent path resolution behavior across different terminal environments and operating systems requires careful validation and testing.	Add `ui.fileAtMentionScope` (enum: 'cwd' | 'workspace') to `settingsSchema.ts`. Update `atFileProcessor.ts` to filter the files retrieved from `readPathFromWorkspace` based on this setting.
24812	File and code references shall be hyperlinks	OPEN		priority/p3, area/core, help wanted, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24812	Convert file and code references in the CLI output to clickable hyperlinks using the OSC 8 terminal escape sequence.	medium	Implementing OSC 8 hyperlinks requires creating a utility for escape sequences, detecting terminal support, and modifying multiple UI components (Markdown renderer and Tool output handlers) to identify and wrap file paths. This involves logic tracing across the UI layer and adjustments to the Markdown parsing/rendering logic, which aligns with the Medium effort criteria for integration across components and parser modifications.	In `packages/cli/src/ui/components/AskUserDialog.tsx`, wrap the `prompt` text in a `<Text bold color={theme.status.warning}>` component to make it stand out from standard chat messages.
24690	--list-sessions does not support --output-format json	OPEN		priority/p3, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24690	Enable raw JSON output for the `--list-sessions` command when the global `--output-format json` flag is used.	small	The fix is highly localized to the `listSessions` function in `packages/cli/src/utils/sessions.ts`. It requires a simple conditional check on the `config` object to determine if JSON output is requested and then serializing the existing `sessions` array. This falls under trivial logic and formatting adjustments, fitting the criteria for a small effort task.	In `listSessions` (packages/cli/src/utils/sessions.ts), check `config.getOutputFormat()`. If it equals `'json'`, use `writeToStdout(JSON.stringify(sessions))` and return early.
24687	allow listing all sessions, not only ones for current directory	OPEN		priority/p3, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24687	Allow the `--list-sessions` command to discover and display sessions from all projects/directories, not just the current one, and include the directory path in the output.	medium	Implementing a global session list requires modifying the session manager to traverse all subdirectories within the ~/.gemini/sessions storage path, rather than just the current project's hash-based directory. This involves asynchronous filesystem operations, potential updates to the session metadata schema to ensure the original directory path is consistently stored/retrieved, and updating the CLI output logic to handle the aggregated data and the --json flag requirements.	Update `listSessions` to scan the entire global session storage directory. Pass a flag to `sessionSelector.listSessions()` to skip filtering by current project hash, then display the `workspaceDir` property for each session found.
24663	ACP: let hosts answer ask_user and exit_plan_mode	OPEN		priority/p2, area/non-interactive, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24663	Extend the Agent-to-Agent (ACP) server to allow host editors to programmatically respond to `ask_user` and `exit_plan_mode` prompts.	large	This task involves architectural and protocol changes to the Agent-to-Agent (ACP) server and the core Scheduler's routing logic. According to the criteria, modifications to the A2A protocol, task Scheduler, and implementing host-answerable input flows across the controller boundary are classified as Large effort due to their complexity and impact on the core execution pipeline.	
24658	gemini extensions select command - interactive and one-shot ability to quickly manage extensions	OPEN		status/need-triage, area/extensions, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24658	Implement a new `/extensions select` command that allows users to enable or disable multiple extensions at once, including an interactive multi-select picker.	medium	Implementing the `/extensions select` command requires creating a new interactive multi-select UI component using Ink, managing its internal state, and integrating it with the existing extension enablement services. This involves logic tracing across the CLI's command structure and state synchronization to batch-apply changes to the extension configuration, which aligns with the Medium effort criteria for React/Ink state management and service integration.	
24553	feat(ui): implement persistent sticky topic header	OPEN		area/core, 🔒 maintainer only, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24553	Relocate the `TopicStickyHeader` from the scrolling chat history to a persistent, fixed position at the top of the application layout.	medium	Relocating the TopicStickyHeader requires synchronizing state between the message history and the global application layout. This involves modifying multiple layout files (DefaultAppLayout, ScreenReaderAppLayout) and implementing or leveraging React state/context to track the 'current' topic as it changes during execution, which fits the criteria for state management and component integration.	
24427	GeminiCLI.com Feedback: [ISSUE]	OPEN		area/extensions, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24427	Flag paid extensions and services with additional Terms of Service (TOS) on the GeminiCLI.com extensions gallery.	medium	This task requires modifying the Zod schema for extension metadata in the core package, updating the extension registry data, and implementing UI changes in the website's gallery components to render the new flags. It involves state/data synchronization across the core types and the frontend, which aligns with the Medium effort criteria for schema validation and multi-component integration.	
24407	Hide the generated output code from CLI	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24407	Add an option to suppress the verbose code streaming output during file-write operations, showing only a concise summary instead.	small	The task involves adding a new configuration field to the settings schema and implementing a conditional rendering check in the ToolResultDisplay component. This is a highly localized change (2 files) that falls under trivial logic/config and UI adjustments as per the criteria.	Add `ui.verbosity` to `settingsSchema.ts`. In `ToolResultDisplay.tsx`, if the tool is `edit` or `write_file` and verbosity is `'summary'`, render only the status line and the line count instead of the `DiffRenderer`.
24395	ask_user interface can be difficult to notice	OPEN		priority/p2, area/core, 🔒 maintainer only, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24395	Make the `ask_user` tool prompt more prominent in the TUI to prevent users from missing it.	small	This is a localized UI/aesthetic adjustment within a single Ink component (AskUserDialog.tsx). It involves simple styling changes such as adding bold text or adjusting colors to improve visibility, which aligns with the criteria for small effort tasks.	In `AskUserDialog.tsx`, wrap the prompt text in a `<Text bold color={theme.status.warning}>` component and add a top margin to separate it from the history.
24280	ACP: populate PromptResponse.usage and send UsageUpdate with cost	OPEN		status/need-triage, area/non-interactive, status/possible-duplicate, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24280	Enhance the ACP server to populate `PromptResponse.usage` and broadcast `UsageUpdate` events that include calculated session costs.	medium	This task involves logic tracing and integration across the ACP server implementation and the model response handling. It requires mapping existing token data to a new protocol-compliant structure and implementing a cost calculation utility based on model-specific rates. Since it involves modifying the asynchronous flow to broadcast session notifications (UsageUpdate) and ensuring protocol consistency across components, it fits the Medium effort criteria.	
24199	Alpine startup/auth: remove duplicate refresh and reduce first-pass startup work	OPEN		status/need-triage, area/core, status/possible-duplicate, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24199	Optimize the auth and startup flow for non-interactive environments (like Alpine Linux CI/CD) by reducing redundant work and credential refreshes.	medium	The task involves logic tracing and state synchronization between the initial CLI startup sequence and the React/Ink UI hooks. Optimizing the authentication lifecycle to prevent redundant refreshes and ensuring state is correctly passed through the asynchronous flow requires careful validation of the auth provider and startup logic, fitting the criteria for Medium effort.	
24169	GeminiCLI.com Feedback: skill doesn’t appear in /skills list.	OPEN		status/need-triage, area/extensions, area/documentation, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24169	Investigate and fix why certain skills do not appear in the `/skills` list despite being successfully loaded.	medium	The issue involves investigating and fixing logic within the CLI's skill discovery and UI rendering pipeline. Based on the previous analysis, this requires tracing state synchronization between the skill manager and the Ink-based UI components (SkillsList.tsx), ensuring that filtering logic correctly handles various skill types. This aligns with the Medium criteria for logic tracing and state management in React/Ink components.	Update the filtering logic in `packages/cli/src/ui/commands/skillsCommand.ts` to include all skills from the `agentRegistry` without excluding based on metadata flags like `isHidden` unless explicitly requested.
24071	Let users queue a message while compression is running	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24071	Enable users to type and queue a new message while the conversation history is being compressed, rather than blocking the UI.	medium	This task requires modifying the React/Ink state management within the CLI's UI components to handle asynchronous state transitions between compression and message processing. It involves synchronizing the input buffer with the completion of the compression task, which fits the criteria for Medium effort due to state synchronization and async flow handling.	
24033	Provide detailed logs with LLM  calls with `--debug`	OPEN		status/need-triage, area/core, status/possible-duplicate, type/bug	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24033	Add detailed raw request and response logging for all Gemini API calls when the `--debug` flag is active.	small	The task is highly localized to the `LoggingContentGenerator` class. It involves adding a few `debugLogger.debug` calls to capture and output the JSON payloads of API requests and responses, which are already being processed by this class. This aligns with the criteria for minor logging adjustments and localized fixes.	In `loggingContentGenerator.ts`, wrap the `generateContent` and `sendMessage` calls with `debugLogger.debug` statements that log the stringified request and response objects.
24030	Provide method to 'interrupt' stuck agent when running in headless mode	OPEN		status/need-triage, area/non-interactive, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/24030	Provide a mechanism (like SIGINT handling) to interrupt a 'stuck' agent turn when running in headless/non-interactive mode.	medium	Implementing a signal handler that interrupts a 'stuck' agent turn to prompt for additional context requires more than a simple process exit. It involves modifying the asynchronous control flow to catch the signal, triggering the existing AbortController, and then transitioning the process state to read from stdin—potentially in an environment where stdin was not originally expected to be interactive. This requires logic tracing across the CLI and the agent session management to ensure the session remains valid after the interruption.	Add a `process.on('SIGINT', ...)` handler in `nonInteractiveCli.ts` that calls `abortController.abort()` to cleanly terminate the pending model request and exit the process.
23874	Improve filesystem error handling for ECONNRESET	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23874	Provide a user-friendly error message for the `ECONNRESET` system error code in filesystem operations.	small	The change is a trivial addition of a single error message string to a static mapping object in a single file (fsErrorMessages.ts). It falls under the category of string/content updates and trivial logic adjustments, requiring minimal effort and testing.	Add a new entry for `'ECONNRESET'` to the `errorMessageGenerators` map in `fsErrorMessages.ts` with a description like 'The connection was reset by the filesystem or remote host.'
23861	Improve filesystem error handling for ETIMEDOUT	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23861	Provide a user-friendly error message for the `ETIMEDOUT` system error code in filesystem operations.	small	The change is a highly localized string/content update involving the addition of a single entry to a mapping object in one file (fsErrorMessages.ts). It requires no complex logic or cross-component integration.	Add an entry for `'ETIMEDOUT'` to the `errorMessageGenerators` map in `fsErrorMessages.ts` with a clear message like 'The filesystem operation timed out.'
23800	please show full command with Ctrl+O	OPEN		area/core, status/needs-info, type/bug	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23800	Display the full executed shell command in the tool detail view triggered by `Ctrl+O`.	small	This is a localized UI adjustment within the Ink-based terminal interface. The shell command data is already captured in the ToolInvocation object; the task simply involves adding a Text component to the existing detail view triggered by the Ctrl+O keypress handler. It falls under the criteria for minor UI tweaks and displaying existing data.	Update `packages/cli/src/ui/components/views/ToolOutputDetail.tsx` to display `invocation.command` at the top of the detail box, formatted as a code block.
23796	Support XDG Base Directory Specification for configuration	OPEN		status/need-triage, area/core, status/possible-duplicate, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23796	Modify the CLI to follow the XDG Base Directory Specification for configuration and data storage (e.g., using `~/.config/gemini` if `XDG_CONFIG_HOME` is set).	small	The change is highly localized to a single file (packages/core/src/utils/paths.ts) and involves straightforward logic to check environment variables and return a path string. This fits the criteria for trivial logic/config adjustments and is easily reproducible and testable.	In `paths.ts`, update the `getGeminiDir()` function to check `process.env.XDG_CONFIG_HOME` or `process.env.GEMINI_CONFIG_DIR` before defaulting to `path.join(os.homedir(), '.gemini')`.
23786	Provide link when Automatic Update fails	OPEN		priority/p3, area/core, 🔒 maintainer only, type/bug	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23786	Provide a manual download/update URL in the TUI notification when the automatic background update fails.	small	This is a localized string and UI content update within the UpdateNotification component. It involves modifying a static error message to include a manual installation command, which falls under the criteria for minor UI/aesthetic adjustments and string updates.	Update `packages/cli/src/ui/components/UpdateNotification.tsx` to accept an optional `downloadUrl` and render it using a blue `<Text>` element if the update state indicates a failure.
23745	Improve consistency of debugLogger behavior across CLI components	OPEN		status/need-triage, area/core, type/bug	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23745	Refactor the logging system to ensure `debugLogger` behavior and output formatting are consistent across both `packages/core` and `packages/cli`.	medium	Standardizing debugLogger involves modifying the core logging utility and refactoring multiple components across the core and CLI packages to remove manual environment guards. This requires logic tracing across the codebase and validation to ensure the TUI correctly handles the standardized output without display inconsistencies, fitting the criteria for integration across multiple components.	
23730	Completed tasks moving to the end is confusing	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23730	Fix the confusing behavior where completed sub-tasks are automatically moved to the end of the task list.	small	This is a localized UI adjustment in the Todo component. The fix involves either modifying the sorting logic or adding a visual separator between task states within a single file (packages/cli/src/ui/components/messages/Todo.tsx), which aligns with the criteria for minor structural layouts and trivial logic changes.	In `Todo.tsx`, remove any `.sort()` logic that prioritizes incomplete tasks, ensuring the `subtasks` array is rendered in its original order.
23675	Gemini CLI is Clumsy	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23675	Address general UX 'clumsiness' (e.g., input lag, flickering, or non-standard key handling) reported in feedback.	medium	The issue describes fundamental UX friction in the TUI, specifically regarding input handling (Ctrl-X workflow) and output formatting (line numbers). Addressing this requires modifying React/Ink state management in InputPrompt.tsx to improve the input buffer experience and potentially adjusting the Markdown renderer or system prompt logic to handle code block formatting better. This involves logic tracing and state synchronization across multiple UI components, fitting the Medium criteria.	
23663	feat: Export session to file for sharing	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23663	Add a feature to export the current conversation session to a standalone file (JSON or Markdown) for sharing or archival.	medium	Implementing session export and import requires integrating with the ChatRecordingService, handling asynchronous file I/O, and modifying the CLI state initialization to support loading from a file. Ensuring the session can be correctly resumed involves state synchronization and validation of the imported data, which fits the criteria for logic tracing and service integration across components.	Add a `/session export <path>` subcommand in `packages/cli/src/ui/commands/sessionCommand.ts`. The action should retrieve the full transcript from `agentContext.chatRecordingService` and save it to the provided path.
23617	Consolidate diffstat generation logic	OPEN		area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23617	Consolidate the duplicated logic for generating `diffstat` (line additions/deletions) into a single shared utility.	medium	Consolidating diffstat generation logic requires tracing how file changes are calculated across multiple tool implementations (e.g., edit_file, apply_diff). It involves more than simple string extraction; it requires ensuring that the logic correctly handles edge cases where users manually modify AI-suggested edits, necessitating logic synchronization across the core utility and the tool execution layer, along with robust validation to prevent regressions in chat history reporting.	Extract the line-counting and diff-aggregation logic into a `calculateDiffStat` function in `fileDiffUtils.ts` and update `edit.ts` and `write-file.ts` to use it.
23561	GeminiCLI.com Feedback: Add colab MCP server to extensions	OPEN		status/need-triage, area/extensions, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23561	Add a Google Colab MCP server entry to the official extensions gallery on GeminiCLI.com.	small	This is a content and metadata update for the extensions gallery. It involves adding a new entry to a static list or configuration file, which falls under the criteria for string/content updates and trivial configuration changes.	Add the Colab MCP server configuration and description to the `extensions.json` registry file (or equivalent site metadata).
23501	[Feature Request] Simplify Configuration System & Add Global Settings (Like Claude Code)	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23501	Redesign and simplify the multi-tiered configuration system to provide a flatter schema and more intuitive global/local override behavior.	large	Redesigning the configuration system from a fragmented, nested structure to a unified global/local model requires significant architectural changes to the core Settings class, schema definitions, and UI components. It also necessitates a robust migration strategy for existing user data and complex logic for hierarchical setting resolution, fitting the criteria for a major subsystem overhaul.	
23489	Support resuming sessions from any folder with globally addressable session IDs	OPEN		area/core, status/possible-duplicate, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23489	Allow sessions to be resumed using their UUID from any directory, rather than being restricted to the directory where they were created.	medium	Implementing global session resumption requires modifying the session discovery logic to search across all project-specific storage directories rather than just the current one. It also necessitates adding an interactive prompt to handle directory mismatches and updating multiple entry points including --resume, /resume, and --list-sessions, which involves logic tracing and UI state management.	In `resolveSession` (packages/cli/src/utils/sessions.ts), if the session is not found in the current project directory, use `fs.readdirSync` to iterate over all subdirectories in the sessions root and look for a matching UUID filename.
23456	Feature: Explain this Error Git Pre-Commit Hook Integration	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23456	Implement a Git pre-commit hook integration that automatically pipes hook failures to Gemini for an explanation and suggested fix.	medium	This feature requires implementing a new CLI command, handling filesystem operations to install the hook into the .git directory, and creating a wrapper script to manage process exit codes and pipe stderr to the Gemini API. It involves service integration and asynchronous flow management, fitting the 1-3 day development window.	
23425	feat: add three-snapshot memory leak detection utility	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23425	Implement a 'three-snapshot' memory leak detection utility that captures and compares process heap states over time.	medium	Implementing the three-snapshot utility requires creating a new telemetry module with logic for stateful snapshot tracking, delta calculations, and severity classification. While it uses standard Node.js APIs, it necessitates robust validation and integration into the CLI's lifecycle to ensure accurate reporting without introducing its own overhead, fitting the 1-3 day medium effort profile.	
23422	feat: add V8 heap snapshot capture utility for memory diagnostics	OPEN		status/need-triage, area/core, type/bug	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23422	Add a diagnostic utility to capture and save V8 heap snapshots for memory usage analysis.	small	The task involves implementing a localized utility function that wraps the built-in Node.js 'v8' module. It requires basic filesystem operations and metadata formatting, which is straightforward and constrained to a single module, fitting the criteria for a small effort level.	Add a subcommand to `debugCommand.ts` (or a new `/debug` handler) that imports `v8` from `node:v8` and executes `v8.writeHeapSnapshot(path.join(storage.getProjectTempDir(), 'heap.heapsnapshot'))`.
23402	test(ACP): Add missing unit coverage for restore command flows	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23402	Implement missing unit test coverage for the ACP (Agent-to-Agent) session restoration and 'restore' command flows.	small	The task involves adding unit test coverage for a single command file. The logic in restore.ts is straightforward, and a significant portion of the test suite is already implemented in the provided context. Completing the remaining test cases for error branches and the generator flow is a highly localized task that can be completed within a single day.	Create or update `packages/core/src/code_assist/server.test.ts` to include test scenarios that trigger the `restore` command and verify that the agent state (history, context) is correctly re-hydrated.
23392	## 🚀 Improvement: JetBrains IDE Detection – Robustness & UX Enhancements	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23392	Improve the robustness and accuracy of JetBrains IDE detection logic across Windows, macOS, and Linux to provide a better onboarding experience for extensions.	medium	The task involves implementing a timeout for process traversal to prevent CLI hangs, which falls under asynchronous control flow management. Additionally, it requires refining detection logic for multiple JetBrains products and updating UI messaging/guidance, necessitating logic tracing and integration across the detection utility and user-facing CLI components.	
23373	Allowing remote use of Gemini CLI through telegram, etc.	OPEN		status/need-triage, area/non-interactive, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23373	Implement a remote interface (e.g., Telegram Bot API) to allow interacting with the Gemini CLI agent from mobile devices or external chat applications.	large	Implementing a remote interface like Telegram requires a significant architectural shift from a terminal-based CLI to a persistent service model. It involves creating a new adapter layer to map external API events to the agent's internal logic, managing persistent state across sessions, and handling external network protocols (webhooks/long-polling), which constitutes a major subsystem implementation.	
23371	Better TUI copy method	OPEN		priority/p2, area/core, type/bug	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23371	Implement a more user-friendly TUI copy method, such as a dedicated 'Copy Mode' or a keyboard shortcut to copy blocks of code without terminal formatting (borders, line numbers).	medium	Implementing a user-friendly copy method in an Ink-based TUI requires managing UI state transitions to toggle formatting (like borders and line numbers) or integrating a clipboard utility to programmatically capture specific blocks. This involves logic tracing in the MainContent component, handling keyboard input via hooks, and managing asynchronous clipboard operations, which aligns with the Medium effort criteria for state management and service integration.	
23350	Improve filesystem error message handling for ENOTDIR Fixes #23350	OPEN		status/need-triage, area/core, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/23350	Add specialized error message handling for the `ENOTDIR` (Not a directory) system error code in the filesystem utility.	small	The task is a highly localized string and logic update within a single file (fsErrorMessages.ts). It involves adding a single entry to a static mapping object to handle the ENOTDIR error code, which fits the criteria for trivial logic and content updates.	Add an entry for `'ENOTDIR'` to the `errorMessageGenerators` map in `packages/core/src/utils/fsErrorMessages.ts` with a message like 'Path exists but is a file, expected a directory.'
